Animal,WaterSprinklers,Trampoline,WoodenPost,LargeBall,SmallBall,RopeToy,BoneToy,Tunnel,WoodenLogs,CardboardBoxes,CarTire,RockPerch,HighWoodBeamPerch,RockCliff,SaltBlock,Mirror,ScentMarkers,TugBallJollyBall,TallGrassVegetation,Mud,Pond,Hats
Rabbit,,3,,,2,,,2,,3,,1,,,,,,,1,,,1
Goose,1,2,,,3,,,,,,,1,,,,3,,,,,2,1
Capybara,1,1,,,2,,,,,,,3,,,,,,,,1,1,1
Pig,,,,1,1,,1,,,1,,,,,,1,,,,3,,1
Duck,1,,,,,,,,,,,,,,,3,,,,,2,1
Snake,,1,,,2,,,,,,,3,1,,,,3,,,,,1
Badger,,,,,,,,2,1,1,,,,,,,2,,,,,1
Hyena,,,,1,,3,2,,,,,,,,,,2,,,,,1
Porcupine,,,,,1,,,2,,1,,,,,1,,,,1,,,1
Bear,,,,2,,,,,2,,2,,,,,,,,,,,1
Meerkat,,,,,1,,,3,,2,,,,,,,,,,,,1
Horse,,2,,1,3,,,,,,,1,,,3,,,3,,,,1
Armadillo,,1,,,2,,,2,,1,,3,,,,,,,,,,1
Donkey,,,,1,,,,,,,,,,,2,,,2,,1,,1
Cow,,,,,,,,,,,,,,,2,,,2,2,1,,1
Tapir,,,,1,,,,,,,,,,,3,,1,,,,1,1
Ostrich,,,,,,,,,,,,,,,,,,,5,,,1
Tortoise,2,1,,,2,,,,,,,3,2,,,,,,,1,,1
Chicken,,,,,,,,,1,,,1,,,,2,,,2,,,1
Camel,,,,,,,,,,,,,,,2,,,3,,,,1
Penguin,1,,,,2,,,2,,,,,,,,,,,,,2,1
Antelope,,,1,,,,,,,,,,,3,2,,,,,1,,1
Panther,,,2,,,,,,,1,2,,,,,,2,,,,,1
Seal,1,,,2,,,,,,,,,,,,,,,,,5,1
Wolf,,3,,,2,2,3,,,,,1,,,,,2,,,,,1
Lemur,,2,,,2,,,,1,,,,,,,1,1,,,,,1
Alpaca,,2,,1,3,,,,,,,1,,,2,1,,,2,,,1
KomodoDragon,,,,,,,,,,,,3,2,,,,2,,,,,1
Walrus,2,,,,,,,,,,,,,,,,,,,,5,1
OrangUtan,,2,,,,,,,2,1,,,1,,,1,,,,,,1
PolarBear,,,,2,,,,,,,2,,,,,,,,,,3,1
Skunk,,,,,2,,,1,,2,,,,,,,,,1,,,1
Crocodile,2,,,,,,,,,,,1,,,,,,,1,1,3,1
WildBoar,,,,1,1,,2,,,,,,,,,,,,,3,,1
Peacock,,,,,,,,,,,,1,2,,,,,,3,,,1
Platypus,2,,,,,,,,,,,,,,,,,,2,,3,1
Deer,,,,,,,,,,,,,,2,2,,,1,3,,,1
Monkey,,2,,1,1,,,,2,,,,1,,,1,,,,,,1
Flamingo,2,,,,,,,,,,,,,,,1,,,,,4,1
Gorilla,,2,,1,1,,,,2,,,,,,,1,,,,,,1
Tiger,,,2,,,,,,,1,1,,,,,,2,,1,,,1
Kangaroo,,,,2,1,,,,,,,1,,,,,,,2,,,1
Beavers,1,,,,,,,2,,,,,,,,,,,,,4,1
RedPanda,,,,,,,,1,3,,,,2,,,,,,1,,,1
Zebra,1,,,,,,,,,,,,,,2,,,2,2,,,1
Fox,,3,,,1,,,1,,2,,,,,,,,,,,,1
Raccoon,,2,,,,,,3,,2,,,,,,,,,,,,1
Elephant,2,,,1,,,,,,,,,,,2,1,,,,1,,1
Cheetah,,,2,1,,,,,,1,1,,,,,,2,,,,,1
Otter,3,,,,,,,1,,,,,,,,,,,,,4,1
Owl,1,,,,,,,,,,,1,2,,,2,,,1,,,1
Rhino,1,,,1,,,,,,,2,,,,,,,,,3,,1
Panda,,,,1,,,,,2,,,,3,,,,,,1,,,1
Giraffe,1,,,,,,,,,,,,,,2,,,,3,,,1
Hippopotamus,1,1,,2,1,,,,,,,3,3,,,,,,,2,4,1
Lion,,,2,,,,,,,1,1,2,,,,,2,,,,,1
